geo,life_expectancy_years,time
atg,33.54,1856
atg,33.54,1857
atg,33.54,1858
atg,33.54,1859
atg,33.54,1860
atg,33.54,1861
atg,33.54,1862
atg,33.54,1863
atg,33.54,1864
atg,33.54,1865
atg,33.54,1866
atg,33.54,1867
atg,33.54,1868
atg,33.54,1869
atg,33.54,1870
atg,33.54,1871
atg,33.54,1872
atg,33.54,1873
atg,33.54,1874
atg,33.54,1875
atg,33.54,1876
atg,33.54,1877
atg,33.54,1878
atg,33.54,1879
atg,33.54,1880
atg,33.54,1881
atg,33.54,1882
atg,33.54,1883
atg,33.54,1884
atg,33.54,1885
atg,33.54,1886
atg,33.54,1887
atg,33.54,1888
atg,33.54,1889
atg,33.54,1890
atg,33.54,1891
atg,33.54,1892
atg,33.54,1893
atg,33.54,1894
atg,33.54,1895
atg,33.54,1896
atg,33.54,1897
atg,33.54,1898
atg,33.54,1899
atg,33.54,1900
atg,33.54,1901
atg,33.54,1902
atg,33.54,1903
atg,33.54,1904
atg,33.54,1905
atg,33.54,1906
atg,33.54,1907
atg,33.54,1908
atg,33.54,1909
atg,33.54,1910
atg,33.54,1911
atg,33.54,1912
atg,33.54,1913
atg,33.54,1914
atg,33.54,1915
atg,33.54,1916
atg,33.54,1917
atg,21.75,1918
atg,33.54,1919
atg,33.54,1920
atg,33.55,1921
atg,34.4,1922
atg,35.25,1923
atg,36.09,1924
atg,36.94,1925
atg,37.78,1926
atg,38.63,1927
atg,39.47,1928
atg,40.32,1929
atg,41.16,1930
atg,42.01,1931
atg,42.86,1932
atg,43.7,1933
atg,44.55,1934
atg,45.39,1935
atg,46.24,1936
atg,47.08,1937
atg,47.93,1938
atg,48.78,1939
atg,49.62,1940
atg,50.47,1941
atg,51.31,1942
atg,52.16,1943
atg,53,1944
atg,53.85,1945
atg,54.69,1946
atg,55.54,1947
atg,56.39,1948
atg,57.23,1949
atg,58.08,1950
atg,58.35,1951
atg,58.86,1952
atg,59.37,1953
atg,59.88,1954
atg,60.39,1955
atg,60.89,1956
atg,61.39,1957
atg,61.88,1958
atg,62.36,1959
atg,62.84,1960
atg,63.29,1961
atg,63.74,1962
atg,64.16,1963
atg,64.57,1964
atg,64.96,1965
atg,65.34,1966
atg,65.71,1967
atg,66.08,1968
atg,66.44,1969
atg,66.8,1970
atg,67.3,1971
atg,67.7,1972
atg,68,1973
atg,67.8,1974
atg,67.5,1975
atg,67.3,1976
atg,67.4,1977
atg,68,1978
atg,68.9,1979
atg,69.9,1980
atg,71,1981
atg,71.9,1982
atg,72.7,1983
atg,73,1984
atg,73.1,1985
atg,73,1986
atg,72.9,1987
atg,72.8,1988
atg,72.5,1989
atg,72.4,1990
atg,72.3,1991
atg,72.1,1992
atg,72.1,1993
atg,72.2,1994
atg,72.2,1995
atg,72.6,1996
atg,72.9,1997
atg,73.2,1998
atg,73.6,1999
atg,73.9,2000
atg,74.1,2001
atg,74.2,2002
atg,74.3,2003
atg,74.3,2004
atg,74.3,2005
atg,74.4,2006
atg,74.6,2007
atg,74.8,2008
atg,75.1,2009
atg,75.2,2010
atg,75.2,2011
atg,75.2,2012
atg,75.2,2013
atg,75.2,2014
atg,75.2,2015
arg,33.2,1800
arg,33.2,1801
arg,33.2,1802
arg,33.2,1803
arg,33.2,1804
arg,33.2,1805
arg,33.2,1806
arg,33.2,1807
arg,33.2,1808
arg,33.2,1809
arg,33.2,1810
arg,33.2,1811
arg,33.2,1812
arg,33.2,1813
arg,33.2,1814
arg,33.2,1815
arg,33.2,1816
arg,33.2,1817
arg,33.2,1818
arg,33.2,1819
arg,33.2,1820
arg,33.2,1821
arg,33.2,1822
arg,33.2,1823
arg,33.2,1824
arg,33.2,1825
arg,33.2,1826
arg,33.2,1827
arg,33.2,1828
arg,33.2,1829
arg,33.2,1830
arg,33.2,1831
arg,33.2,1832
arg,33.2,1833
arg,33.2,1834
arg,33.2,1835
arg,33.2,1836
arg,33.2,1837
arg,33.2,1838
arg,33.2,1839
arg,33.2,1840
arg,33.2,1841
arg,33.2,1842
arg,33.2,1843
arg,33.2,1844
arg,33.2,1845
arg,33.2,1846
arg,33.2,1847
arg,33.2,1848
arg,33.2,1849
arg,33.2,1850
arg,33.2,1851
arg,33.2,1852
arg,33.2,1853
arg,33.2,1854
arg,33.2,1855
arg,33.2,1856
arg,33.2,1857
arg,33.2,1858
arg,33.2,1859
arg,33.2,1860
arg,33.2,1861
arg,33.2,1862
arg,33.2,1863
arg,33.2,1864
arg,33.2,1865
arg,33.2,1866
arg,33.2,1867
arg,33.2,1868
arg,33.2,1869
arg,33.2,1870
arg,33.2,1871
arg,33.2,1872
arg,33.2,1873
arg,33.2,1874
arg,33.2,1875
arg,33.18,1876
arg,33.16,1877
arg,33.14,1878
arg,33.12,1879
arg,33.1,1880
arg,33,1881
arg,32.9,1882
arg,32.8,1883
arg,32.7,1884
arg,32.6,1885
arg,32.88,1886
arg,33.16,1887
arg,33.44,1888
arg,33.72,1889
arg,34,1890
arg,33.86,1891
arg,33.72,1892
arg,33.58,1893
arg,33.44,1894
arg,33.3,1895
arg,34,1896
arg,34.7,1897
arg,35.4,1898
arg,36.1,1899
arg,36.8,1900
arg,37.38,1901
arg,37.96,1902
arg,38.54,1903
arg,39.12,1904
arg,39.7,1905
arg,40.46,1906
arg,41.22,1907
arg,41.98,1908
arg,42.74,1909
arg,43.5,1910
arg,44.04,1911
arg,44.58,1912
arg,45.12,1913
arg,45.66,1914
arg,46.2,1915
arg,47,1916
arg,47.8,1917
arg,41.76,1918
arg,49.4,1919
arg,50.2,1920
arg,50.67,1921
arg,51.15,1922
arg,51.62,1923
arg,52.09,1924
arg,52.57,1925
arg,52.9,1926
arg,53.23,1927
arg,53.56,1928
arg,53.9,1929
arg,54.23,1930
arg,54.22,1931
arg,54.22,1932
arg,54.21,1933
arg,54.2,1934
arg,54.2,1935
arg,55.15,1936
arg,56.1,1937
arg,57.05,1938
arg,58.01,1939
arg,58.96,1940
arg,59.53,1941
arg,60.11,1942
arg,60.68,1943
arg,61.25,1944
arg,61.83,1945
arg,61.7,1946
arg,61.58,1947
arg,61.46,1948
arg,61.33,1949
arg,61.21,1950
arg,61.51,1951
arg,62.1,1952
arg,62.62,1953
arg,63.09,1954
arg,63.5,1955
arg,63.86,1956
arg,64.16,1957
arg,64.4,1958
arg,64.59,1959
arg,64.74,1960
arg,64.86,1961
arg,64.94,1962
arg,65.01,1963
arg,65.08,1964
arg,65.17,1965
arg,65.28,1966
arg,65.43,1967
arg,65.62,1968
arg,65.84,1969
arg,66.1,1970
arg,66.4,1971
arg,67,1972
arg,67.5,1973
arg,67.7,1974
arg,67.9,1975
arg,67.9,1976
arg,68.4,1977
arg,69.2,1978
arg,69.9,1979
arg,70.2,1980
arg,70.3,1981
arg,70.7,1982
arg,70.8,1983
arg,71,1984
arg,71.9,1985
arg,72,1986
arg,72.1,1987
arg,72.2,1988
arg,72.4,1989
arg,72.6,1990
arg,72.7,1991
arg,72.8,1992
arg,73.1,1993
arg,73.4,1994
arg,73.5,1995
arg,73.5,1996
arg,73.6,1997
arg,73.7,1998
arg,74,1999
arg,74.3,2000
arg,74.4,2001
arg,74.3,2002
arg,74.5,2003
arg,75,2004
arg,75.4,2005
arg,75.5,2006
arg,75.4,2007
arg,75.5,2008
arg,75.6,2009
arg,75.8,2010
arg,75.9,2011
arg,75.9,2012
arg,76,2013
arg,76.1,2014
arg,76.2,2015
arm,33.99,1800
arm,33.99,1801
arm,33.99,1802
arm,33.99,1803
arm,33.99,1804
arm,33.99,1805
arm,33.99,1806
arm,33.99,1807
arm,33.99,1808
arm,33.99,1809
arm,33.99,1810
arm,33.99,1811
arm,33.99,1812
arm,33.99,1813
arm,33.99,1814
arm,33.99,1815
arm,33.99,1816
arm,33.99,1817
arm,33.99,1818
arm,33.99,1819
arm,33.99,1820
arm,33.99,1821
arm,33.99,1822
arm,33.99,1823
arm,33.99,1824
arm,33.99,1825
arm,33.99,1826
arm,33.99,1827
arm,33.99,1828
arm,33.99,1829
arm,33.99,1830
arm,33.99,1831
arm,33.99,1832
arm,33.99,1833
arm,33.99,1834
arm,33.99,1835
arm,33.99,1836
arm,33.99,1837
arm,33.99,1838
arm,33.99,1839
arm,33.99,1840
arm,33.99,1841
arm,33.99,1842
arm,33.99,1843
arm,33.99,1844
arm,33.99,1845
arm,33.99,1846
arm,33.99,1847
arm,33.99,1848
arm,33.99,1849
arm,33.99,1850
arm,33.99,1851
arm,33.99,1852
arm,33.99,1853
